Cu2+-Cu2+,,Cu2+-Cl-,,Cl-_Cl-,
5.933844593,0.634900309,1.369766706,4.384016052,3.054602679,2.199549329
6.072244791,0.618390662,1.377633301,4.197741592,3.098802875,2.051809116
6.215607271,0.610976666,1.388833122,4.030018589,3.147928219,1.894642701
6.354052138,0.616745662,1.401754958,3.899202655,3.197068697,1.745024814
6.497452631,0.628290354,1.41626764,3.739873212,3.24622431,1.602955456
6.635936911,0.653716976,1.416039145,3.625911401,3.310146956,1.428413868
6.774428198,0.682638287,1.435983923,3.436013939,3.369206675,1.294331319
6.912958723,0.731129857,1.446593764,3.248020688,3.438139811,1.152928842
7.051513072,0.79150337,1.462236157,3.065029459,3.521900239,1.009108461
7.190105259,0.870748203,1.475126717,2.889259456,3.620510698,0.87421203
7.323781057,0.963787599,1.493268095,2.690359753,3.729059992,0.764623358
7.467432572,1.100529527,1.506120143,2.524736716,3.837679228,0.689918038
7.606188719,1.261550085,1.530434069,2.322092047,3.946348913,0.640374478
7.72520364,1.440006251,1.548951893,2.105457585,4.055052996,0.607986665
7.829388992,1.619744547,1.568343476,1.913636993,4.165768759,0.592586824
7.903895688,1.792311899,1.595170976,1.731715567,4.272551742,0.588387837
7.968470785,1.943180779,1.620262468,1.564618229,4.381333793,0.594886382
0.048120485,9.21E-05,1.638316235,1.410088259,4.490130749,0.608819084
0.156391577,0.000299219,1.671110106,1.248796835,4.598943757,0.630757801
0.300753033,0.00057542,1.707592909,1.087762088,4.707765938,0.657271383
0.421054247,0.000805588,1.741926521,0.950749124,4.816603025,0.691219122
0.565415703,0.00108179,1.782295522,0.810078299,4.92545731,0.733744735
0.733837402,0.001404026,1.850156103,0.681703918,5.034325355,0.783132646
0.854138615,0.001634194,1.938868039,0.541605536,5.143206012,0.838810997
2.008999574,-0.011462373,2.047432239,0.439451021,5.255818509,0.906362501
,,2.156083579,0.38075773,5.360997136,0.965036013
,,2.262824483,0.355571546,5.469880086,1.021858081
,,2.373561687,0.350865454,5.57875501,1.074677141
,,2.482363229,0.367085589,5.687611588,1.11834647
,,2.591194583,0.398174037,5.796448675,1.152294209
,,2.700052308,0.442415224,5.905273149,1.179951508
,,2.808937551,0.500381008,6.014072399,1.195027926
,,2.917845726,0.569783956,6.122865915,1.207245053
,,3.026775686,0.650052211,6.231637646,1.208596874
,,3.135712525,0.733751614,6.340389886,1.200227106
,,3.244652804,0.819166593,6.44912722,1.184423181
,,3.353593083,0.904581571,6.557848502,1.160613241
,,3.462504697,0.975700094,6.666556024,1.129941002
,,3.571405993,1.041671893,6.775249788,1.092406465
,,3.680251105,1.079622639,6.883938965,1.052584495
,,3.789064114,1.101561356,6.993727206,1.012955247
,,3.897831259,1.100625745,7.101327639,0.978087279
,,4.006573179,1.087109252,7.210034016,0.946843182
,,4.115296754,1.064443029,7.335234178,0.922397605
,,4.224028355,1.045779812,7.427496071,0.908944892
,,4.332771422,1.032835178,7.536240284,0.896572116
,,4.441532834,1.029040276,7.672716669,0.906897897
,,4.550327497,1.041829261,7.763710862,0.918737856
,,4.659131333,1.059193112,7.872534189,0.945823297
,,4.767946634,1.082275546,7.946742753,0.969697302
,,4.87674359,1.096208247,,
,,4.985531374,1.105566084,,
,,5.094285906,1.098340032,,
,,5.20303012,1.085967256,,
,,5.311754841,1.06387289,,
,,5.420494468,1.049212682,,
,,5.529211164,1.023115309,,
,,5.637953084,1.009598816,,
,,5.746691564,0.99436675,,
,,5.855434631,0.981422116,,
,,5.964179991,0.969621198,,
,,6.072948283,0.969257444,,
,,6.181717721,0.969465549,,
,,6.290502065,0.977107811,,
,,6.399290995,0.987037505,,
,,6.508086805,1.000398349,,
,,6.616882614,1.013759192,,
,,6.72567957,1.027691894,,
,,6.834455888,1.031331148,,
,,6.943259151,1.04840907,,
,,7.052025722,1.04718753,,
,,7.160775669,1.037674045,,
,,7.269527908,1.029304276,,
,,7.378257216,1.009497344,,
,,7.486976204,0.984543687,,
,,7.595681434,0.952727732,,
,,7.704356279,0.905757535,,
,,7.813040297,0.863362203,,
,,7.921711129,0.814390502,,
,,7.990888296,0.794698514,,
,,1.049965667,1.67037621,,
,,1.076174145,2.741854925,,
