Cu+-Cu+,,Cu+-Cl-,,Cl-_Cl-,
7.350855852,1.092458926,4.062260893,0.857624686,5.9029822,0.859648968
7.465524898,1.109181495,4.171267269,0.878760604,6.031454,0.912797201
7.574531274,1.133110413,4.280273645,0.913505548,6.143291711,0.961381524
7.694862988,1.15961464,4.389280021,0.940583435,6.252298087,1.008968788
7.806877657,1.200377902,4.498286397,0.974369997,6.364277365,1.05536035
7.897303401,1.213916397,4.607292774,1.00758153,6.47031084,1.097817993
0.894669496,-0.00014111,4.71629915,1.044243238,6.579317216,1.136779818
0.764059285,-0.000662162,4.825305526,1.081479975,6.688323592,1.168266263
0.573167438,0.011402182,4.934311902,1.114691507,6.797329968,1.195152474
0.352134774,0.010520402,5.043318278,1.143302806,6.906336344,1.2105381
0.181336806,0.009839028,5.152324655,1.169613988,7.015342721,1.216723258
0.020585777,0.022023613,5.261331031,1.187299731,7.124349097,1.217158124
0.442557227,0.01088113,5.370337407,1.197510094,7.233355473,1.215867902
0.663589892,0.024588789,5.479343783,1.197944959,7.342361849,1.208827388
0.271759259,0.023025635,5.588350159,1.193204562,7.451368225,1.199486757
6.661612654,0.997632189,5.697356536,1.181563814,7.560374601,1.188996067
,,5.806362912,1.163597744,7.629742295,1.18122239
,,5.915369288,1.142181499,7.794242827,1.169227999
,,6.024375664,1.11616502,7.897303401,1.169639145
,,6.13338204,1.092448658,7.961716259,1.169896111
,,6.242388417,1.068157266,0.010538837,-0.003668227
,,6.351394793,1.040415699,0.332040895,0.010440241
,,6.460401169,1.0218746,0.593261317,0.011482343
,,6.569407545,1.002758472,0.824340921,0.012404204
,,6.678413921,0.987092519,0.663589892,0.01176291
,,6.787420298,0.977176859,0.452604167,0.010921211
,,6.896426674,0.962660964,,
,,7.00543305,0.951595245,,
,,7.114439426,0.938804439,,
,,7.223445802,0.929463807,,
,,7.332452179,0.918973118,,
,,7.441458555,0.910207516,,
,,7.550464931,0.900866885,,
,,7.659471307,0.889226136,,
,,7.768477683,0.873560184,,
,,7.87748406,0.860769377,,
,,7.961716259,0.847304708,,
