Li-Li,,Be-F,,Be-Be,,F-F,,Li-Be,,Li-F,
3.245995671,1.176646461,1.209752285,1.900915383,3.423455988,0.168393676,2.563455988,2.24786001,2.723852814,2.610434756,1.425321068,1.853089419
3.321075036,1.081104604,1.225678211,2.036523182,3.498535354,0.19921363,2.62488456,2.151374684,2.746604137,2.742813797,1.435900433,1.976468299
3.396154401,0.993487877,1.239329004,2.152758437,3.573614719,0.243242136,2.669249639,2.034101614,2.768217893,2.864699377,1.456766646,2.131310265
3.471916306,0.922117669,1.259805195,2.24962115,3.648694084,0.291673493,2.703376623,1.914234006,2.792106782,2.982145417,1.474317666,2.280755594
3.546313131,0.86492464,1.261755308,2.352018875,3.723773449,0.362999672,2.734090909,1.789523263,2.819408369,3.089905185,1.48796846,2.427433416
3.621392496,0.820015564,1.266630592,2.482091661,3.798852814,0.439168988,2.764805195,1.695082118,2.870598846,3.21824828,1.513861632,2.584873762
3.696471861,0.787874754,1.276868687,2.599134106,3.873932179,0.522382864,2.795519481,1.586111566,2.942265512,3.205656127,1.528270803,2.740392229
3.771551227,0.773785632,1.290519481,2.765415097,3.949011544,0.624528997,2.829646465,1.482745214,2.99004329,3.04510618,1.543059163,2.857434674
3.846630592,0.768061927,1.298482443,2.900215706,4.024090909,0.724033421,2.870598846,1.370246092,3.017344877,2.925238573,1.566948052,2.983010263
3.921709957,0.762778506,1.31304329,3.110730668,4.099170274,0.823097559,2.918376623,1.271307749,3.043963925,2.777522936,1.624963925,3.086999304
3.993376623,0.764231447,1.321233766,3.247307094,4.174249639,0.915997706,2.976392496,1.165727392,3.058297258,2.697611198,1.645252525,3.133027523
4.119646465,0.777307913,1.332609428,3.369999863,4.249329004,0.988644741,3.048059163,1.066134912,3.07536075,2.580568753,1.664646465,3.068807339
4.164011544,0.786994184,1.341709957,3.512065176,4.324408369,1.076701753,3.123138528,0.980279325,3.095836941,2.467562254,1.677575758,2.995412844
4.392662338,0.826619839,1.351948052,3.615385403,4.399487734,1.153751638,3.198217893,0.90851286,3.106075036,2.36101327,1.693737374,2.908256881
4.467741703,0.845552097,1.353085618,3.74130693,4.4745671,1.224197248,3.273297258,0.850835518,3.133376623,2.225405472,1.713694084,2.811424885
4.542821068,0.866245495,1.362186147,3.903551974,4.549646465,1.296403997,3.348376623,0.787434469,3.143614719,2.116919233,1.734964956,2.695881506
4.617900433,0.894864024,1.365598846,4.010100958,4.62472583,1.365528752,3.423455988,0.749129669,3.170916306,1.957418633,1.76031643,2.566500597
4.692979798,0.930086828,1.370376623,4.134569545,4.699805195,1.432892366,3.498535354,0.711265154,3.186842232,1.850869648,1.775805195,2.434628932
4.768059163,0.966630488,1.372424242,4.288581258,4.77488456,1.483965433,3.573614719,0.686168906,3.201630592,1.751988962,1.794916306,2.294177998
4.843138528,0.993487877,1.375836941,4.409659649,4.849963925,1.503337975,3.648694084,0.668997788,3.222106782,1.634542923,1.812662338,2.178669213
4.918217893,1.026068971,1.382662338,4.490378577,4.92504329,1.527113368,3.723773449,0.661072657,3.239170274,1.525572371,1.821437848,2.064198242
4.993297258,1.05556807,1.384027417,4.626632126,5.000122655,1.539001065,3.798852814,0.661072657,3.259646465,1.414664564,1.839963925,1.94934674
5.068376623,1.082425459,1.386075036,4.78742423,5.07520202,1.53768021,3.873932179,0.661072657,3.293773449,1.275182258,1.859465059,1.82204146
5.143455988,1.103118856,1.398588264,4.950476464,5.150281385,1.524911943,3.942186147,0.678292695,3.327900433,1.139574459,1.880916306,1.701539632
5.197337662,1.115559469,1.39972583,5.078012369,5.22536075,1.498054554,4.06504329,0.707302588,3.348376623,1.087268594,1.901392496,1.58207562
5.252525253,1.123853211,1.403138528,5.235414278,5.300440115,1.452705193,4.140122655,0.740323968,3.392741703,0.929261294,1.922843744,1.460881916
5.310707071,1.133027523,1.413376623,5.436404407,5.375519481,1.390184715,4.21520202,0.778188483,3.454170274,0.794258888,1.950876623,1.317317538
5.381207311,1.129242437,1.413376623,5.351649533,5.450598846,1.309612549,4.290281385,0.816052998,3.573614719,0.630252703,1.974196729,1.211575743
5.450598846,1.120289974,1.416789322,5.542953391,5.525678211,1.226398673,4.36536075,0.856999509,3.648694084,0.595910469,2.007186147,1.105430353
5.525678211,1.104879997,1.421664605,5.682020572,5.597344877,1.126521056,4.440440115,0.914676851,3.723773449,0.565971085,2.027662338,1.010585613
5.593932179,1.076506071,1.427027417,5.843227801,5.669011544,1.026949541,4.515519481,0.956063647,3.798852814,0.559366809,2.072027417,0.877399383
5.737265512,1.007136714,1.430440115,5.943319272,5.744090909,0.93966827,4.590598846,1.010042595,3.860281385,0.562826191,2.126630592,0.752400358
5.812344877,0.963548493,1.435315399,6.080541448,5.817430902,0.873377408,4.665678211,1.060851491,3.983138528,0.593268758,2.190334295,0.646812313
5.887424242,0.925683978,1.437265512,6.211306111,5.885708674,0.820810143,4.740757576,1.106641137,4.058217893,0.612201016,2.230176768,0.597087975
5.962503608,0.893543168,1.441815777,6.314626338,5.944302549,0.749974061,4.815836941,1.146266792,4.133297258,0.630252703,2.276789322,0.558828682
6.037582973,0.868887205,1.450916306,6.453462893,6.017106782,0.71698886,4.890916306,1.169161615,4.208376623,0.652266956,2.372344877,0.496406045
6.112662338,0.840708961,1.457741703,6.566065797,6.092186147,0.687049476,4.965995671,1.177527031,4.283455988,0.683527195,2.447424242,0.475272362
6.187741703,0.829701835,1.472757576,6.720803981,6.167265512,0.651386386,5.041075036,1.178407602,4.358535354,0.711705439,2.522503608,0.470429227
6.242344877,0.825739269,1.494296537,6.853021584,6.242344877,0.621447002,5.116154401,1.162117054,4.433614719,0.751331094,2.631709957,0.482316923
6.306262626,0.825688073,1.509038801,6.96119803,6.317424242,0.634655554,5.191233766,1.134819381,4.508694084,0.785233044,2.706789322,0.506532602
6.357979798,0.821100917,1.528035113,7.102803717,6.392503608,0.64654325,5.266313131,1.104879997,4.583773449,0.825298984,2.781868687,0.537352556
6.419393939,0.816513761,1.54988456,7.222497543,6.467582973,0.654468381,5.341392496,1.068336337,4.658852814,0.856559223,2.856948052,0.565090514
6.487272727,0.811926606,1.561848485,7.074893512,6.542662338,0.667236648,5.416471861,1.032232962,4.733932179,0.891341743,2.932027417,0.60911902
6.545454545,0.811926606,1.564076479,6.917810043,6.617741703,0.705541448,5.491551227,0.990846166,4.809011544,0.930086828,3.01222583,0.664099617
6.597171717,0.821100917,1.570721501,6.766275188,6.692821068,0.734159977,5.566630592,0.948138516,4.884090909,0.969712484,3.082186147,0.718309715
6.651868687,0.82750041,1.575138528,6.516071429,6.767900433,0.750450524,5.641709957,0.90763229,4.959170274,1.000092153,3.157265512,0.779069053
6.726948052,0.836746396,1.580598846,6.195162325,6.842979798,0.783471904,5.716789322,0.882976327,5.034249639,1.030031537,3.232344877,0.842910387
6.807146465,0.859035827,1.58514911,6.062783284,6.918059163,0.815539332,5.791868687,0.847753522,5.109329004,1.043240088,3.307424242,0.895917563
6.877106782,0.871528915,1.596524772,5.583312855,6.988413253,0.835537305,5.948852814,0.814291858,5.184408369,1.060411206,3.370217893,0.95359805
6.952186147,0.884737467,1.597662338,5.915874836,7.068217893,0.856559223,6.023932179,0.798001311,5.228773449,1.072739187,3.436926407,1.019976655
7.027265512,0.896113204,1.597662338,5.809325852,7.143297258,0.886938893,6.099011544,0.79183732,5.450598846,1.058650066,3.592906205,1.1410274
7.088513709,0.907560616,1.597662338,5.702776868,7.218376623,0.904462238,6.174090909,0.79183732,5.525678211,1.041038663,3.669170274,1.20614556
7.153131313,0.926605505,1.603350168,5.417031864,7.293455988,0.925683978,6.249170274,0.794038745,5.600757576,1.024748116,3.744249639,1.268225754
7.204848485,0.935779817,1.611313131,5.305639744,7.368535354,0.941974525,6.324249639,0.805926442,5.662186147,0.991097758,3.819329004,1.31929882
7.314747475,0.949541284,1.613019481,5.05985061,7.443614719,0.943735665,6.399329004,0.814732143,5.774805195,0.939068644,3.894408369,1.360245331
7.372929293,0.95412844,1.61472583,5.181332596,7.518694084,0.946817661,6.474408369,0.823537844,5.856222428,0.908764452,3.969487734,1.376535878
7.456969697,0.949541284,1.617000962,4.932718299,7.593773449,0.94065367,6.549487734,0.837626966,5.938614719,0.874170626,4.0445671,1.366849607
7.553939394,0.944954128,1.621551227,4.826169315,7.668852814,0.927445118,6.6245671,0.859200934,6.385678211,0.858320364,4.119646465,1.320179391
7.67030303,0.931192661,1.626670274,4.467777277,7.743932179,0.924803408,6.699646465,0.870648345,6.460757576,0.860521789,4.19472583,1.250174066
7.79959596,0.931192661,1.628376623,4.68733276,7.819011544,0.922308459,6.77472583,0.891782028,6.535836941,0.880774902,4.269805195,1.171803326
7.877171717,0.931192661,1.628376623,4.580783776,7.894090909,0.928178926,6.849805195,0.909393431,6.610916306,0.897065449,4.3455671,1.085815654
7.935353535,0.931192661,1.630651756,4.337012615,7.945281385,0.932288254,6.92488456,0.928325688,6.685995671,0.912035141,4.419963925,1.000626785
7.948282828,0.931192661,1.637477152,4.161045353,,,6.999963925,0.937571674,6.761075036,0.933609109,4.475420274,0.941369133
,,1.644302549,3.771980122,,,7.07504329,0.954302507,6.836154401,0.951220511,4.539408369,0.891716497
,,1.645440115,3.891444135,,,7.150122655,0.960906782,6.911233766,0.971033339,4.594011544,0.851905513
,,1.646577682,4.01898004,,,7.22520202,0.967511058,6.986313131,0.988644741,4.655440115,0.81968535
,,1.655678211,3.640811865,,,7.300281385,0.969272199,7.061392496,1.014181275,4.735353535,0.793577982
,,1.665233766,3.446844282,,,7.37536075,0.973234764,7.136471861,1.022986976,4.832323232,0.770642202
,,1.665916306,3.334483535,,,7.447027417,0.977329415,7.211551227,1.026068971,4.916363636,0.766055046
,,1.672741703,3.21824828,,,7.521616162,0.972477064,7.286630592,1.034874672,4.987474747,0.766055046
,,1.676154401,3.09555551,,,7.583030303,0.958715596,7.361709957,1.038837238,5.077979798,0.766055046
,,1.6795671,2.985777769,,,7.68969697,0.940366972,7.436789322,1.038837238,5.162020202,0.76146789
,,1.686392496,2.816268021,,,7.773737374,0.917431193,7.511868687,1.038837238,5.239011544,0.75793537
,,1.696630592,2.559581832,,,7.873614719,0.896625164,7.586948052,1.035755242,5.336565657,0.793577982
,,1.698905724,2.409444626,,,7.93504329,0.883856897,7.662027417,1.027830111,5.436948052,0.815172428
,,1.70004329,2.646758273,,,,,7.737106782,1.01374099,5.515702631,0.852314424
,,1.706868687,2.293209371,,,,,7.812186147,0.989085026,5.587106782,0.872849771
,,1.717106782,2.126121191,,,,,7.887265512,0.974555619,5.659911015,0.893812232
,,1.718471861,2.00649574,,,,,7.941868687,0.971033339,5.730440115,0.910021434
,,1.725638528,1.881542841,,,,,,,5.794379509,0.932779735
,,1.729051227,1.610327244,,,,,,,5.887424242,0.973675049
,,1.730757576,1.7265625,,,,,,,5.962503608,0.98160018
,,1.737582973,1.458979255,,,,,,,6.037582973,1.004054718
,,1.747821068,1.339111648,,,,,,,6.112662338,1.02078555
,,1.756694084,1.179288172,,,,,,,6.187741703,1.033994102
,,1.768979798,1.020433322,,,,,,,6.262821068,1.042359518
,,1.78536075,0.906458197,,,,,,,6.337900433,1.031792677
,,1.795598846,0.79183732,,,,,,,6.4095671,1.024792144
,,1.809932179,0.681413827,,,,,,,6.493737374,1.027522936
,,1.826313131,0.559366809,,,,,,,6.564848485,1.027522936
,,1.839963925,0.452817824,,,,,,,6.6245671,1.024307831
,,1.857027417,0.337389758,,,,,,,6.699646465,1.002477883
,,1.901392496,0.235568597,,,,,,,6.770000555,0.973409224
,,1.945757576,0.143664332,,,,,,,6.849805195,0.956179691
,,2.041313131,0.056891485,,,,,,,6.92488456,0.947810862
,,2.256313131,0.034987303,,,,,,,7.012249639,0.941718545
,,2.331392496,0.031465023,,,,,,,7.136471861,0.896870904
,,2.406471861,0.035427588,,,,,,,7.223495671,0.866636859
,,2.481551227,0.054800131,,,,,,,7.300281385,0.864044069
,,2.556630592,0.072851818,,,,,,,7.37536075,0.855678653
,,2.631709957,0.103231488,,,,,,,7.436789322,0.854798083
,,2.706789322,0.139775147,,,,,,,7.534545455,0.839449541
,,2.781868687,0.184243938,,,,,,,7.618585859,0.844036697
,,2.856948052,0.238399001,,,,,,,7.676767677,0.862385321
,,2.932027417,0.30884461,,,,,,,7.712323232,0.862385321
,,3.007106782,0.396021052,,,,,,,7.754343434,0.862385321
,,3.082186147,0.489746734,,,,,,,7.818989899,0.857798165
,,3.157265512,0.589746478,,,,,,,7.917979798,0.874426606
,,3.228932179,0.691100098,,,,,,,,
,,3.280122655,0.766653014,,,,,,,,
,,3.35520202,0.874862502,,,,,,,,
,,3.471233766,1.026509256,,,,,,,,
,,3.546313131,1.127334535,,,,,,,,
,,3.621392496,1.221555537,,,,,,,,
,,3.696471861,1.320179391,,,,,,,,
,,3.771551227,1.402952982,,,,,,,,
,,3.846630592,1.469436026,,,,,,,,
,,3.921709957,1.509501966,,,,,,,,
,,3.996789322,1.516106242,,,,,,,,
,,4.071868687,1.493211419,,,,,,,,
,,4.146948052,1.427608945,,,,,,,,
,,4.222027417,1.341313073,,,,,,,,
,,4.297106782,1.250174066,,,,,,,,
,,4.36243558,1.170293777,,,,,,,,
,,4.447265512,1.070537762,,,,,,,,
,,4.498455988,1.017043127,,,,,,,,
,,4.576948052,0.929382372,,,,,,,,
,,4.720281385,0.814291858,,,,,,,,
,,4.79536075,0.781710763,,,,,,,,
,,4.870440115,0.75969651,,,,,,,,
,,4.945519481,0.745607389,,,,,,,,
,,5.020598846,0.745167104,,,,,,,,
,,5.095678211,0.750450524,,,,,,,,
,,5.170757576,0.763659076,,,,,,,,
,,5.245836941,0.786553899,,,,,,,,
,,5.327741703,0.813411288,,,,,,,,
,,5.402821068,0.841589531,,,,,,,,
,,5.477900433,0.879454047,,,,,,,,
,,5.539329004,0.907380699,,,,,,,,
,,5.648535354,0.954566678,,,,,,,,
,,5.791868687,1.025188401,,,,,,,,
,,5.866948052,1.046322084,,,,,,,,
,,5.942027417,1.063493201,,,,,,,,
,,6.017106782,1.081104604,,,,,,,,
,,6.092186147,1.087268594,,,,,,,,
,,6.167265512,1.091671445,,,,,,,,
,,6.242344877,1.09211173,,,,,,,,
,,6.317424242,1.081985174,,,,,,,,
,,6.392503608,1.062612631,,,,,,,,
,,6.467582973,1.041919233,,,,,,,,
,,6.542662338,1.02078555,,,,,,,,
,,6.617741703,0.989965596,,,,,,,,
,,6.689408369,0.962315695,,,,,,,,
,,6.969249639,0.854798083,,,,,,,,
,,7.129646465,0.834104685,,,,,,,,
,,7.20472583,0.825298984,,,,,,,,
,,7.279805195,0.816933568,,,,,,,,
,,7.35488456,0.818694708,,,,,,,,
,,7.429963925,0.823537844,,,,,,,,
,,7.50504329,0.829701835,,,,,,,,
,,7.580122655,0.836746396,,,,,,,,
,,7.65520202,0.851716088,,,,,,,,
,,7.730281385,0.860521789,,,,,,,,
,,7.78488456,0.868358863,,,,,,,,
